title,views,description,date_published,duration,tags
Der Weg der Selbsterkenntnis - beobachte dich selbst!,14,"nimm dir die Zeit und höre hin, wichtige Informationen enthalten!!E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.youtube.com/channel/UCGQFj8C3sMhx...",2021-03-02,1:47:46,
Was ist Angst und warum ist sie da??!,27,Song: Angst ist nur ein Gefühl- Böse Onklz E-Mail: wie.aus.goetter.affen.wurden@gmail.com                                                                    ...,2021-03-02,4:12,
"Es geht um alles, um jeden einzelnen von uns!",15,E-Mail: wie.aus.goetter.affen.wurden@gmail.com                                                                              ​https://creator26111975.wordpres...,2021-02-28,1:03:00,
"Der Gott in der Maschine - ein ""Erfahrungsbericht""",14,E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://creator26111975.wordpress.com/https://aufdemwegzumschoepferwissen.wordpress.com/https://wissenthomasvei...,2021-02-28,29:31,"Programme, Erfindungen der Matrix, Freimauerer, Illuminati, Reptioloide/Dämonen, Zahlencodes, Avatarkörper, Play the game, una bella compania, Schöpferwissen, Freiheit, Liebe, Kontrolle, Macht, Norm, Mind controle, Impfstoffe, Globale Maffia, Fehlleitungen, Wahrheit, Wahrheitsfindung, Augenaufmachen, Rettung der Menschheit, Universum, Ewigkeit, Unendlichkeit, Systeme, Lügen, Intuition, Fremdsteuerung, Besetzungen, Energieverlust, Wechselbeziehung, Hellsichtigkeit, Hinterfragen, Mut, Spirituell, Geld, Maniputlationen"
Öffne deine Augen - Impulse für die eigene Entwicklung,6,E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://creator26111975.wordpress.com/https://aufdemwegzumschoepferwissen.wordpress.com/https://wissenthomasvei...,2021-02-27,15:24,"Programme, Erfindungen der Matrix, Freimauerer, Illuminati, Reptioloide/Dämonen, Zahlencodes, Avatarkörper, Play the game, una bella compania, Schöpferwissen, Freiheit, Liebe, Kontrolle, Macht, Norm, Mind controle, Impfstoffe, Globale Maffia, Fehlleitungen, Wahrheit, Wahrheitsfindung, Augenaufmachen, Rettung der Menschheit, Universum, Ewigkeit, Unendlichkeit, Systeme, Lügen, Intuition, Fremdsteuerung, Besetzungen, Energieverlust, Wechselbeziehung, Hellsichtigkeit, Hinterfragen, Mut, Spirituell, Geld, Maniputlationen"
"Welchen Wolf ""fütterst"" du? - Anunnaki Teil 3",11,E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.youtube.com/channel/UCGQFj8C3sMhxuFJjkANkyKA/featuredhttps://creator26111975.wordpress.com/https://...,2021-02-27,44:27,
Spiel des Lebens - wo soll es enden?!! - 3 Tage Finsternis?,27,"""ältere"" Erkenntisse - so aktuell wie nie E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.youtube.com/channel/UCGQFj8C3sMhxuFJjkANkyKA/featuredhttp...",2021-02-14,39:25,
verstrickter Betrug an der Menschheit - in allen Bereichen,14,E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://creator26111975.wordpress.com/https://aufdemwegzumschoepferwissen.wordpress.com/https://wissenthomasvei...,2021-02-14,18:56,
Warum hat der heutige Mensch kein Wissen?,11,E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.youtube.com/channel/UCGQFj8C3sMhxuFJjkANkyKA/featuredhttps://creator26111975.wordpress.com/https://...,2021-02-14,23:06,
Life After Life,7,".. die wahre Freiheit und Unabhängigkeit liegt darin, sich zwischen den Welten zu bewegen ..Thomas adF VeitE-Mail: wie.aus.goetter.affen.wurde@gmail.comhttps...",2021-01-27,51:23,
Wo ist dein WILLE? Finde die Wahrheit solange du noch kannst,8,"... denn die Wege sind lang und der Tod ist nicht ihr Ende,wach endlich auf,reich mir die Hände ..E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.y...",2021-01-27,35:29,"Programme, Erfindungen der Matrix, Freimauerer, Illuminati, Reptioloide/Dämonen, Zahlencodes, Avatarkörper, Play the game, una bella compania, Schöpferwissen, Freiheit, Liebe, Kontrolle, Macht, Norm, Mind controle, Impfstoffe, Globale Maffia, Fehlleitungen, Wahrheit, Wahrheitsfindung, Augenaufmachen, Rettung der Menschheit, Universum, Ewigkeit, Unendlichkeit, Systeme, Lügen, Intuition, Fremdsteuerung, Besetzungen, Energieverlust, Wechselbeziehung, Hellsichtigkeit, Hinterfragen, Mut, Spirituell, Geld, Maniputlationen"
"In Wahrhaftigkeit ist ""Emotion"" keine Emotion, sondern Wahrheit!",40,E-Mail: wie.aus.goetter.affen.wurden@gmail.com https://www.youtube.com/channel/UCGQFj8C3sMhxuFJjkANkyKA/featuredhttps://creator26111975.wordpress.com/https:/...,2019-06-23,1:42:41,
Illusionen der Matrix,36,E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.youtube.com/channel/UCGQFj8C3sMhxuFJjkANkyKA/featuredhttps://creator26111975.wordpress.com/https://...,2019-05-21,1:26:08,
Transhumanismus - menschliche Roboter sind unter uns,76,Mehr zu den Inhalten vom Video im Buch Wie aus Affen Götter wurden.Nur das Thema Seele/Seelenplan ist in diesem älteren Video (von 2016) nicht mehr korrekt. ...,2019-05-21,1:39:51,
"Wille, handeln - Wissen",23,E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.youtube.com/channel/UCGQFj8C3sMhxuFJjkANkyKA/featuredhttps://creator26111975.wordpress.com/https://...,2019-05-21,23:49,
Verführerische Höflichkeit - warum?,16,"Thomas klärt unter anderen kurz auf, warum es Höflichkeiten, Manieren hier in der Matrix gibt und was es eigentlich istE-Mail: wie.aus.goetter.affen.wurden@g...",2019-05-19,3:23,
Anunnaki Teil 2 - Was von der Öffentlichkeit verborgen bleiben soll,433,"Der reptilianische PaktSchau es Dir an und und gleiche ab, wie weit die Welt schon fortgeschritten ist. Wichtig keine Angst zu zulassen, das wollen Die errei...",2019-05-19,17:03,
Anunnaki Teil 1 - Was von der Öffentlichkeit verborgen bleiben soll,164,E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.youtube.com/channel/UCGQFj8C3sMhxuFJjkANkyKA/featuredhttps://creator26111975.wordpress.com/https://...,2019-05-19,1:45:32,
Wie aus Göttern Affen wurden - Das Buch,209,"BuchbeschreibungDieses Buch wird Dir helfen damit anzufangen, diese Welt so zu sehen wie sie ist.E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.yo...",2019-05-19,12:49,
Thomas sein Buch - Wie aus Göttern Affen wurden,58,"Julias BuchbeschreibungDieses Buch wird Dir helfen damit anzufangen, diese Welt so zu sehen wie sie ist.Schöpferwissen TVE-Mail: wie.aus.goetter.affen.wurden...",2019-05-19,11:51,
UBC - una bella compania,89,"- Eine ehrenwerte Gesellschaft für die, die das strukturierte Prinzip der Liebe leben wollenE-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.youtube...",2019-05-19,45:16,
Das Strukturierte Prinzip der Liebe - was jeder Mensch leben sollte,21,E-Mail: wie.aus.goetter.affen.wurden@gmail.comhttps://www.youtube.com/channel/UCGQFj8C3sMhxuFJjkANkyKA/featuredhttps://creator26111975.wordpress.com/https://...,2019-05-19,12:50,
