title,views,description,date_published,duration,tags
"PORSCHE CAYENNE: a truelife story about ENVY, JALOUSY & HATE",476,"fight for a ""better""",2021-06-24,,
"Home, Sweet Home ..",742,,2021-06-22,33:44,
BECOME THE MASTER OF DISASTER,654,_it is dark and hell is hot_DMX,2021-06-18,,
TRASH DEPOS,422,,2021-06-18,10:42,
THEY DO NOT KNOW WHAT THEY DO,538,,2021-06-18,,
SOCIETY,421,,2021-06-18,,
F*** THE NEW WORLD,548,part one,2021-06-18,33:16,
PORSCHE CAYENNE - HE SHOULD BE DEATH,305,,2021-06-18,39:49,
Hell is HOT,624,,2021-06-18,34:12,
GO!,582,20210531,2021-06-18,,
heute xPress,3063,Nichts ist ok ..,2021-04-12,39:05,
moments of march 21: julia to dejan and helmut is nowhere to find . .,1711,,2021-03-24,29:07,
Das brennende Automobil - Dokumentationen aus dem Leben,991,,2021-03-24,,
Recycle Yourself,870,,2021-03-24,,
m a f i a : INSIDERinfo,985,"Gesprächsaufzeichnung mit Pi Guy (er gibt vor ein Freund zu sein, doch wir wissen nicht, wer er wirklich ist) Das verwendete Titelbild zeigt ihn als Jugendli...",2021-03-21,10:37,
Der Preis des Wissens,1484,"„Sie können alle Blumen abschneiden, den Frühling aber können sie nicht aufhalten.“            Che Guevara",2021-03-15,22:50,
grenzgang : Dualitäten,1283,,2021-03-09,,
grenzgang : crossing borders within,1112,"kein TV-Spielfilm. HIER nur Dokumentationen aus dem Leben ; von Mensch zu Mensch , 2016  ∞",2021-03-04,,
Endzeit Baby,1504,REC.24/01/2021;08:49am.,2021-02-24,,
"One for All - All for One : Einer für Alle, Alle für Einen - Schöpferwissen TVhautnah O2/2021",984,"""The aim of all is but to nurse the lifeWith honour, wealth, and ease, in waning age;And in this aim there is such thwarting strife,That one for all, or all ...",2021-02-23,46:59,
menschlicher Fehler,850,"""Die gewöhnliche Entschuldigung menschlicher Fehler ist die menschliche Schwäche;aber der grösste Fehler ist es eben, der Schwäche untertan zu sein. Schwach ...",2021-02-22,12:59,
"Liebe, Sex und ..  - Wo ist das Wissen?",1545,record 01/2019.Lost+Found: Projekt Jahreswende,2021-02-07,,
Du hast dein Leben verspielt!,1433,"„Spiel ist eine freiwillige Handlung oder Beschäftigung, die innerhalb gewisser festgesetzter Grenzen von Zeit und Raum nach freiwillig angenommenen, aber un...",2021-01-31,6:04,
Warum der Mensch heute kein Wissen hat,988,,2021-01-31,,
Dejan + Helmut = Teilnahme Fernstudium*,1072,*brandaktuell,2021-01-31,1:08:00,
𝅘unplugged,557,𝅘𝅥𝅮 fightRECORDS,2021-01-31,20:19,
about Sonkran - Das thailaendische Wasserfest,468,Oct. 2020,2021-01-30,,
Corona Update - Agenda 21,1095,,2021-01-27,,
Corona: Wer  steckt wirklich dahinter?,1175,Erstveröffentlichung am unter dem Titel  'Live Schaltung Serbien Großes Dankeschön von Grigori P  Grabovoi',2021-01-27,,
Hey Jude,1284,,2021-01-22,41:36,
THE CORONA GAME,687,,2021-01-22,,
Bild Dir deine Meinung : Wahnsinn oder Geldgier ?,1219,VID20210119103545'geldgeil'dejanEDIT,2021-01-20,,
Ein Blick 00,1416,1/13/2021,2021-01-13,,
EIN BLICK 01,1639,,2020-12-19,31:45,
Lost & Found,1103,𒀭𒂗𒆠,2020-12-19,1:16:26,
Kampf Gesang: ไทย - free man,925,"sing a song and do poésie, Thomas adF Veit for all human´`kind, 08 of December 2020Siam ~ Thailand",2020-12-11,,
MADNESS,1050,“It is sometimes an appropriate response to *this* reality to go insane”,2020-12-07,32:47,
Life After Life,1282,".. die wahre Freiheit und Unabhängigkeit liegt darin, sich zwischen den Welten zu bewegen ..Thomas adF Veit",2020-12-05,,
"Der informative Einfluss, der allgegenwärtig auf uns lastet",1570,vom Glauben zum Wissen.,2020-11-25,,
WRONG WORLD II,1180,"08.Nov.,11.59",2020-11-13,,
WRONG WORLD : Life after COVID,1218,,2020-11-12,22:46,
SUPER ZERO HERO : Nightmares on Planet Earth,1718,,2020-10-21,,
TRAVEL TO THAILAND,1656,,2020-09-30,,
DARKSIDE - Die Schattenseiten des Daseins,1624,,2020-09-20,31:41,
COVID-19 : Die Geschichte wiederholt sich,1269,,2020-09-20,,
You believe in Covid19?,912,17. September 2020,2020-09-17,17:54,
bewusst Sein,793,HEUTE,2020-09-17,15:05,
Katastrophen COVID Zeiten,1306,,2020-09-11,,
COVID-19 - Real Life Situation Report,1142,September 2020,2020-09-09,,
"massimo: salvarsi ! ENGLISH VERSION ! Same Same, but different.",446,"Julia (just now): I know someone who can see everyone's darkness. the price he pay for this *gift is everyone's disgust and hate. a price, no one else could ...",2020-09-05,,
massimo: salvarsi ! INSIDERINFO THOMAS ADF VEIT,870,"'There is no coming to consiousness without pain. Humans will do anything, no matter how absurd, avoiding facing their own soul.  Carl Jung (1845 -1961)Titel...",2020-09-05,,
Spiel des Lebens,1804,,2020-08-27,,
THAI Talk,937,record : 25.08.20,2020-08-25,52:00,
SOS,1210,"...---...SOS became associated with such phrases as ""Save our Souls"" and ""Save our Ship""This distress signal was first adopted by the German government radio...",2020-08-21,13:17,
A QUESTION ABOUT MONEY ?,1092,"""The impossible exists only until we find a way to make it possible.""Mike Horn",2020-08-12,26:44,
DISTRESS COVID-19,1398,"""Du musst Dich daran erinnern, dass die Angst nicht echt ist .  .. Versteh mich nicht falsch: Die Gefahr ist real, aber Angst ist eine Entscheidung"" (Filmzit...",2020-07-31,,
In Zeiten der COVID-19 Krise erfährt die NWO ihren Höhepunkt,1347,"""Wir müssen aufpassen dass wir uns von den kommenden Ereignissen nicht mitreissen lasen."" (Thomas a.d,F. Veit : Endzeit - Bis zur Befreiung ist es nochmal so...",2020-07-28,,
Die Grundsatzfrage,1047,"""Der Sinn des Lebens, ist das Leben selbst"" Thomas adF Veit",2020-07-25,,
ALITA : Battle Angel,965,,2020-07-25,10:25,
"Mode Trend Maske : Nein, Danke !",741,Aufzeichnung vom 22. Juli 2020,2020-07-25,,
Notstand in Thailand : Falscher Hass - Der Fall Porsche Cayenne,1166,"""Die  Liebe*   hat die Kraft, A L L E S entstehen und A L L E S gehen zu lassen                                                      was nicht zu uns gehört""...",2020-07-22,20:52,
"Die NWO schägt zu : Wer die Wahrheit spricht, braucht ein verdammt schnelles Boot!",1072,,2020-07-22,12:40,
"BLACK goo,  COVID-19,  NWO und DU",1792,,2020-07-22,32:44,
"COVID-19, wenn Du erkennst . .",2605,,2020-07-18,1:18:34,
Trainingssache - Wie wir arbeiten,1363,,2020-07-02,,
Gedankenfrei im Kopf - Wie erreichst Du das?,1424,Jeder Schritt wirklicher Bewegung ist wichtiger als ein Dutzend ProgrammeKarl Marx (1818 - 1883),2020-07-02,22:16,
Fang besser an Dich für Autos zu interessieren . .,1248,,2020-06-28,35:34,
"Praktische Künste, die Welt ist Technik",766,,2020-06-28,16:21,
LOST PARADISE 67ff. - SPIRIUELLES KONZEPT FEHLANZEIGE,962,"""Alle Wissenschaft wäre überflüssig, wenn die Erscheinungsform und das Wesen der Dinge unmittelbar zusammenfielen."" Karl Marx (1818 - 1883)",2020-06-26,17:06,
≤ Lüge ≥ Unreine Information = Lüge = Betrug {O} SELBSTTÄUSCHUNG,937,*02/2018,2020-06-26,,
COVID19 Die Welt steht still - Thomas spricht über das was ihn bewegt,1310,.blackandwhite.edit,2020-06-23,,
Phänomene der Endzeit,1523,"♫ Sincerely Yours, The D.A.C.Dirty Art Club",2020-06-19,38:05,
Manipulierte Hilfe weltweit,1273,,2020-06-15,36:23,
Der Skandal des Unbewussten,1147,,2020-06-14,,
SURVIVOR reloaded,761,zuvor weltweit gesperrt,2020-06-10,,
"Der Workshop des Grauens (TV Unplugged, June 2020)",748,"Wenn man sich mit der Welt anlegt, zeigt die Welt einem wer sie ist. Thomas adF Veit",2020-06-10,27:12,
Unplugged,986,Dokumentationen aus dem Leben 6/2/2020,2020-06-03,,
Entprogrammierung fehlgeschlagen!,1441,Dokumentationen aus dem Leben,2020-05-31,,
Mai Movie,1266,,2020-05-24,,
! ? ? ! DIE ERDE IST FREI ! ? ? !,1746,,2020-05-12,,
i n form iere Dich (nicht),1033,,2020-05-12,,
「virus」の意味,1055,"COVID-19; virus SARS-CoV-2, member of the family Coronaviridae?!",2020-05-12,,
WER VERMUTET DENN DAS DIESE WELT SO SCHLECHT IST,1092,,2020-05-12,,
DER SONDERZUG NACH COVID,874,,2020-05-02,,
Corona-Krise 2020 : Kein Happy End in Sicht,1342,,2020-04-27,,
"Die Pest + EBOLA + Corona = Hurra,hurra, die neue Weltordnung ist da",1339,"Inhalt: Wie entstehen Gesetze? COVID19 als Mittel zum Zweck; Warum sind die Ländergrenzen zu?;Welt weiter Still Stand,COVID19 und der zweite Weltkrieg,FreiSe...",2020-04-26,40:02,
Planet der Affen - Am Anfang war das Wort,1164,,2020-04-12,15:15,
ANGSt,802,,2020-04-12,,
PHÖNIX - Denkmal der Ewigkeit,917,,2020-04-11,9:57,
Kopfkrankheit - WHO ruft internationalen Notstand aus?!?,1474,Kennst Du Schöpferwissen TV?,2020-04-10,1:17:10,
So entstehen Realitäten,1423,Beispiel COVID-19,2020-04-07,23:25,
corona krise,1362,,2020-03-31,,
CORONAVIRUS UPDATE AN ALLE MENSCHEN,1403,,2020-03-30,,
Warnung zu COVID-19,1568,Achtung: abstrakt.,2020-03-27,,
über das verlieren und sich selbst kontrollieren,1566,,2020-03-21,,
In the Ghetto,1031,,2020-03-21,29:21,
Coronavirus Update,1544,,2020-03-20,32:06,
Corona Virus in Europa,2201,NEWSTICKER,2020-03-05,15:51,
Nebuchadnezzar ... where the crew would locate and free the minds of other humans,1647,"The Matrix and Philosophy states that the Nebuchadnezzar's name is symbolically important, as the ancient king ""has a dream he can't remember but keeps searc...",2020-02-24,,
Schokierende Wahrheit über das Coronavirus : Es existiert nicht!,2919,,2020-02-17,,
Entdecke Wahrhaftigkeit!,1154,,2020-02-16,1:21:57,
tag beginnt IV,1473,"Wer die Ewigkeit versteht, hat sie bereits bezwungen, Thomas adF Veit",2020-02-03,,
"Tag beginnt, dritter Teil",791,Der Mensch,2020-02-03,18:33,
tag beginnt teil zwei,681,Das Wissen,2020-02-03,,
tag beginnt,924,"russische Heilmethoden, Wissen ist.",2020-02-01,10:55,
Das Erbe dieser Welt :: Der Kampf ums Paradies,1451,,2020-01-22,15:10,
WISSEN,662,,2020-01-22,3:47,
KAMPF,1018,,2020-01-19,13:36,
Der Traum ist aus - Selbsttäuschung,1205,23:12:2019,2020-01-18,,
Das Erbe dieser Welt,1454,,2020-01-10,12:39,
Wenn der Vorhang fällt,1278,,2020-01-09,,
DÄMONISCH,1940,Geschichten aus dem Leben,2020-01-01,,
fall ben fettfuss,1555,Es geht um dein verf***** Leben,2019-12-19,15:24,
Kapitän Paul,1043,. . .,2019-12-19,29:04,
"Es gibt keine Garantie, keine Sicherheit - Für Nichts.",1116,,2019-12-19,16:15,
gaizaz,1218,indogerman.,2019-12-13,27:08,
Helm + X,1364,,2019-12-09,,
Selbst ist der Mann,1013,do + it + yourself,2019-12-08,,
Welt der Wunder?,951,,2019-12-08,15:18,
τριάς,1176,der Weg das Wissen das Leben,2019-12-02,41:24,
/dɛŋkn̩/,1227,,2019-11-28,59:25,
ψυχή,801,sch+pferWissen TV am Ende der Zeit,2019-11-26,19:37,
вийти,870,,2019-11-24,16:46,
"rette sich, wer kann - every man for himself",1335,S e e l e n HEIL,2019-11-23,16:01,
/Aúto/,690,"/Aúto/ lateinisch-spanischund portugiesisch»Handlung, Akt«",2019-11-23,,
Ein Gleichnis - Die Offenbarung im Milchshake,990,,2019-11-22,,
CouchTalk novembeR 2 0 1 9,1240,.. und er verstand das er nicht Angst ist,2019-11-20,,
Das Seminar der anderen Art : Dein Training im Umgang mit Informationen,1057,,2019-11-18,,
Schöpferwissen TV am Ende der Zeit : Umgang mit Informationen,1015,.01.11.2019.,2019-11-15,17:01,
zemiˈnaːɐ̯ : Das Seminar der anderen Art,844,Die Lehrveranstaltung die keine ist.,2019-11-15,,
Das grösste Problem des Menschen ist er Selbst,1075,una bella collecion 2017 - 2019,2019-11-13,33:23,
Kapitän Paul - Wer Bist du wirklich?,715,Illusion und Wirklichkeit,2019-11-12,16:43,
wenn Menschen über Menschen reden,1174,,2019-11-12,,
Angst Angst Angst - ANGST überall,1271,,2019-11-03,28:25,
"Trailer Faszination Wissen - Wer plant, ergibt sich der Sklaverei",688,,2019-11-03,,
"Warum bin Ich, wie Ich bin?",1292,s c h o e p f e r w i  s s e n T V h a u t n a hEntprogrammierungMenschOktober2019,2019-10-27,,
Kann ein Blinder einem Blinden den Weg weisen?,751,"Erkenntnisse im Leben des Menschen, schoepferwissenTVhautnah",2019-10-27,,
Schöpferwissen TV  am Ende der Zeit,1411,,2019-10-26,34:26,
Die NWO in DIr,1448,"°(2017 , 2019 )∞",2019-10-22,,
Blickwinkel schoepferwissenTVhautnah,1250,,2019-10-20,25:08,
ἐτυμολογία,850,schoepferwissen Thomas Veit,2019-10-19,,
Podcast auto talk,781,Mensch - Maschine : Sensorik,2019-10-17,40:33,
Gefangenenchor Flieg Gedanke schoepferwissenTV,954,,2019-10-15,54:21,
Die Wahrheit verändert Dich,1148,*07.10.2019,2019-10-12,33:09,
heute morgen,1226,,2019-10-07,,
"Du weißt nicht, wie das Wort in der Welt Realitäten erzeugt",1320,heute morgen Julia und Thomas schoepferwissen TVpodcast,2019-10-07,,
"Wie deine Absichten dich um dein Leben bringen - Intention, the most powerful tool of creation",1410,01*10*20-19,2019-10-02,37:46,
Fight Maschine,1132,ÜberLebensTraining,2019-09-28,32:23,
Familie,1167,"Familie (Kollektivbildung von lat. famulus „Diener“, familia „Gesamtheit der Dienerschaft“)Die lateinischen Begriffe famulus und famula heißen „Diener“ bzw. ...",2019-09-27,22:29,
ɡɛlt,1083,"""Geld/ɡɛlt,Géld/Herkunft;mittelhochdeutsch gelt = Zahlung, Vergütung, Einkommen, Wert; dann: geprägtes Zahlungsmittel, althochdeutsch gelt = Zahlung; Lohn; ...",2019-09-27,55:49,
"Die Bautenzug Verschwörung, die Stasi ermittelt",1085,,2019-09-25,38:05,
"Das menschliche Versagen.Wir sprechen die selbe Sprache, doch verstehen tun wir uns nicht.",1023,hinfallen.aufstehen.weiter gehen.,2019-09-25,24:00,
"bist Du? ja, ich bin.",1243,Wie aus Göttern Affen wurden!,2019-09-23,,
"Reden ist Silber, Schweigen ist Gold",815,Das Seminar : Sag kein Wort,2019-09-23,32:05,
Kein Mensch ist absichtlich Böse es fehlt ihm nur das richtige Verstehen,938,Ignorantia legis non excusat,2019-09-22,44:17,"Ignorantia legis non excusat, Unwissenheit schützt vor Strafe nich"
Individualismus leben: Hast du Angst aus der Reihe zu tanzen?,1043,"dejanEditAufnahmen sind am selben tag entstanden1. Vid aufnahme bis 5m11s, Titel Weiterentwicklung: Was es bedeutet niemals Stehen zu bleiben anhand Porsche ...",2019-09-18,38:41,
Wenn die Angst Dich lähmt ..,1248,"wenn die Dunkelheit über mich hereinbricht und nicht aufhört zu regnenich ins Schleudern gerate, stolpreund drohe zu fallenBist du mein Geländer und mein Lic...",2019-09-17,,
Die Renaissance der Liebe,1143,Ich kann es sehen so plastischEs geschieht wie prophezeitWenn er alle Tränen abwischtWird der Tot nicht mehr seinDie Renaissance der LiebeWir können uns alle...,2019-09-11,22:08,
"Wer die Freiheit aufgibt, um Sicherheit zu gewinnen, wird am Ende beides verlieren",1093,(Zitat Benjamin Franklin),2019-09-10,19:06,
mit den Ereignissen 08092019,1150,Dejanski,2019-09-09,28:01,
Ein Stück Freiheit,1319,,2019-09-08,41:45,
Jetzt oder Nie,1257,,2019-09-01,14:06,
"Irren ist menschlich, aber auf Irrtümern zu bestehen ist teuflisch.",1326,"„Irren ist menschlich“ geht auf die lateinische Redewendung „errare humanum est“ zurück, die so jedoch nicht vollständig wiedergegeben ist. Vollständig laute...",2019-09-01,40:22,
vertrauensvoll authentich,1767,Schöpferwissen TV,2019-08-28,,"Schöpferwissen TV, thomas Veit, Thomas, Veit, Wie aus Göttern Affen wurden"
"verschollen: Ihr seit nicht meine Eltern, aber ich liebe euch",1199,,2019-08-27,,
Jeder Moment ist eine Chance zu verstehen wer Du bist und wer Du nicht bist.,1493,,2019-08-25,51:26,
Wenn Du wüsstest ..,1528,,2019-08-25,,
Leben ist ..,1488,.. willst Du wissen was die Matrix ist?,2019-08-22,,
"Ich kann, weil Ich will, was Ich muss?",1531,,2019-08-17,,
cash cow part3,627,,2019-08-16,,
sanfte Grüsse aus der Wirklichkeit,1365,,2019-08-13,39:04,
Das gilt auch für Dich - Fremdsteuerung Mensch,1207,,2019-08-13,11:46,
Wer kämpft kann verlieren. Wer nicht kämpft hat schon verloren. (Bertolt Brecht),1131,seminare.tv,2019-08-09,,
kampfkunst - Bruce  Lee - die mittelbare Frequenz,1542,Thomas Veit,2019-08-02,,
cash cow evidence part I,566,How Gods became Monkeys,2019-08-02,,
cash cow part2,651,evidence 30.07.2019 endzeit .they will walk all over you. HILFE!,2019-08-01,2:24,
Egal was in diesem Seminar passiert  bleib bei Dir,689,,2019-07-31,,
"space time continuum, before christi",1237,"coffe and new life, take away, please.",2019-07-31,1:03:13,
Ein Moment der Wahrheit,1937,"Dokumentationen aus dem Leben Tommys rent a Club, LeipzigGorbitzer Gemeinde, Leipzig Geisteskraft Thailand, Koh Phangan Thailand Una Bella Copania, internati...",2019-07-27,1:13:54,
Einen Moment der Schwäche,1715,,2019-07-20,38:22,
der tod ist nicht die lösung.sterben nur eine illusion,2591,Der Schlüssel zur Ewigkeit  Umgang mit Informationen,2019-07-17,,
Das Seminar der anderen Art,868,,2019-07-13,2:43,
Raum - Zeit - Kontinuum,12579,Kaffee und ein neues Leben,2019-07-08,56:08,"Schöpferwissen TV, Schöpferwissen, Thomas, Veit, Thomas Veit"
Franz der Große - Ein Krieg den es nie gegeben hat.,1737,,2019-06-27,23:50,
"Das ist die Gerechtigkeit, Das ist die Wahrhaftigkeit von UBC",1424,,2019-06-26,,
Ihre grösste Hoffnung wird ihre Verdammnis sein,1704,Filmzitat : Wenn Du König wärst,2019-06-24,32:47,
Ewiges Leben : Bestehen in vielen Realitäten,1364,,2019-06-23,,
Mossad sucht Mich,1681,,2019-06-22,18:37,
Wenn die Matrix einmal klingelt - Riemenriss und Achsenbruch,1257,,2019-06-18,16:26,
Thomas Veit Fernstudium,1799,Da ist der Fuhrpark Da sind Wir,2019-06-15,23:11,"Thomas, Veit, Fernstudium"
live vor Ort Das Camp Wissen schlägt Unwissen,1548,,2019-06-10,16:48,
"Sein Job, Sein Leben - Thomas Veit, hat es nie gegeben",1487,Kriegsberichtserstattung,2019-06-06,,
Kriegs-Berichts-Erstattung - Sensations-Podcast: abgesagt,1321,,2019-06-06,28:27,
Verwahnung aufgehoben - Hassreden am Morgen - Schöne neue Welt,945,"Pressefreiheit.Jeder darf sagen was er will.Träum weiter - Das was wirklich ist, zeigen nur wir.Schöpferwissen TVuncut",2019-06-05,2:48,
Radioaktiv : Welcome to the New Age,1760,,2019-05-30,28:10,"radioaktiver, Befall, New, Age, spirit, TV, Thomas, Veit"
"Das ist die Matrix, et voila",1224,Nachtrag Volvo Crash,2019-05-28,,
"Final Destination Volvo Crash, Erkan Edit",965,Fremdsteuerung vs Selbstkontrolle : Erkennen Verstehen HandelnErkenntnisse im Leben Mensch Sein.zeitlos,2019-05-28,,
"Dinge, die es nicht geben dürfte - Die Welt des Unerklärlichen",2179,Zu Besuch bei Schöpferwissen Thomas Veit,2019-05-27,35:39,"Thomas Veit, Rassadin, Querdenken, Sananda, Geistheiler, Verschwörung"
Schöpferwissen TV auf Nazi Speed,1692,,2019-05-23,,
Bist Du spirituell?,1324,,2019-05-19,,
Halina Ex-Teilnehmerin Seminar berichtet über erneues Treffen mit Thomas und Julia,1545,https://www.backtothetruth.net/,2019-05-18,10:35,
Schöpferwissen TV - Sektenprogramm?,1908,,2019-05-17,1:05:02,"Thomas, Veit, Sekte, Gorbitzer Gemeinde, UBC, Auf dem Weg zum Schöpferwissen"
disable workshop KK1,1251,".. alles begann mit der allgemeinen Verdummung der Menschheit, und die Menschen sind dumm, muss man leider so sagen (Zitat Sananda, alias Oliver Brecht)",2019-05-16,24:31,"Thomas Veit, Sananda"
Mit der Blödheit im Gefecht,1627,"Scarab, 6. Mai 2019",2019-05-15,,"Thomas, Veit"
Thomas Veit - glaubst Du das?,4514,Inhalt:Warum die Zeit nicht real ist - Beispiele aus dem LebenDie Absicht führt zur SelbstaufgabeDer Trick des EhegelübtesSelbstprogrammierung durch Sprache ...,2019-05-14,47:20,"Thomas, Veit, Auf dem Weg zum Schöpferwissen"
Kennst Du deine Seele?,1083,,2019-05-14,,
Die NWO in Dir,1256,,2019-05-13,23:27,
Einzelkampf - Geisteskrank in Thailand,1675,Bewusstseinsforschung aktuell,2019-05-11,35:35,"Bewusstsein, Seele, Training, Gott, Technik, Wissen, Einzelkampf, Grigori, Grabevoi, aktuell, Schöpferwissen TV, Thomas, Veit, Bewusstseinsreise, Thailand, Geisteskraft"
Schöpferwissen - Ich zeige Dir wie es geht,1179,,2019-05-06,3:59,"Schöpfer, Wissen, Training, Gott, Kampf, Krieg, Grabevoi, Waffen, Russen, Geist, Seele, Bewusstsein, Neue, Zeit, Reise, reisen, Dimension, Licht, Liebe"
Sananda - Ein Mann geht seinen Weg,2646,,2019-05-05,12:41,"Sananda, Geistheilung, Training, mental, kognitiv, Besetzungen, Gott, Götter, Jesus, Endzeit, Unsterblichkeit, Ewigkeit, Heilmethoden, Selbstheilung, Lehre, Forschung, bewusst, Bewusstsein, Macht, Kollektiv, Menschheit"
Die Welt ist Gehirn gewaschen Fallbeispiel Synthese,2023,,2019-04-17,21:53,
Simulation Seele - Das Geheimnis ewiger Jugend,1655,"Gesprächsaufzeichnung, März 2019",2019-04-01,3:30,
Was Dir niemand erzählt : Die spirituelle NWO,2349,Dokumentationen aus dem Leben,2019-03-30,,"Jesus, Sand, Heilung, Geist, heil, spirituell, Technik, Seelen, Kollektiv, Macht, bewusst, sein, NWO, geistig, Welt, indigen, Volk, Struktur"
Das Heilmittel gegen Dummheit,1464,"aka Unwissen,oder auch bekannt als KI (Künstliche Intelligenz).",2019-03-28,,
Ich möchte Ehrlichkeit leben.,1392,"Irgendwann stehen wir vor der unbeirrbaren Wahrheit, die Wahrheit über uns selbst, dem was wir bereit waren zu sein, der Ehrlichkeit und Wahrhaftigkeit verpf...",2019-03-27,22:40,"Schöpferwissen TV, Thomas Veit, Thomas, Veit, Auf, dem, Weg, zum, Schöpferwissen, Auf dem Weg zum Schöpferwissen"
Thomas Für Julia,2303,Das geht jeden etwas an.  Gesprächsaufzeichnung vom 23.03.2019,2019-03-25,1:02:12,
Betrug an der Menschheit - Es geht nicht nur um Geld,1877,,2019-03-23,18:56,
"Betrug, Korruption, organisierte Kriminalität - Es geht nur um Geld",1307,,2019-03-23,15:50,
vom Unwissen zum Wissen,1456,,2019-03-16,25:54,
Wie bekomme ich einen freien Kopf?,1898,,2019-03-11,,Wie bekomme ich einen freien Kopf?
Die Frage nach der Unendlichkeit - Thomas adF Veit,1599,Das Strukturierte Prinzip im Leben eines Menschen - Liebe Leben,2019-03-07,36:04,"Die Frage nach der Unendlichkeit, Die Unendliche Geschichte, unendlich, ewig, Thomas adF Veit"
Du hast mir beigebracht zu lieben und nicht zu hassen,2071,,2019-02-27,,"Schöpferwissen TV, Liebe, Wahrheit, Lüge, UBC, Dämon, Mensch, Mensch Dämon, Freiheit, Manipulation, Ungerechtigkeit, Gerechtigkeit, Justice, Time for justice"
Hätte Wäre Wenn,1175,Wie aus Göttern Affen wurden,2019-02-26,,"Wie aus Göttern Affen wurden, Wie aus Affen Götter werden, Schöpferwissen TV, Wahrheit, hätte wäre wenn, ubc, Zombie, Denken, gedanken, Virus, Wissen"
Jeder Weg beginnt mit einem ersten Schritt,2122,Thomas UBCintern 2018,2019-02-22,39:51,
Die Tagesthemen,1270,,2019-02-21,8:11,
Der Weg Thomas Veit 08022019,1370,Ein Auszug - Die vollständige Aufnahme findest du im Mitgliederbereich..,2019-02-17,25:27,
wissen thomas veit podcast 20190205,1782,,2019-02-14,53:49,
Projektarbeit Wissen Thomas Veit 20190210,1202,,2019-02-13,25:05,
Illusion - Ein Definitionsversuch,1081,Vielleicht der Beginn einer sich Dir offenbarenden Wissenstruktur.,2019-02-10,12:01,
wissen thomas veit,2232,,2019-02-07,,"Schöpferwissen TV, Wissen Thomas Veit, Thomas, Veit, Wissen, training für werdende Götter, Auf dem Weg zum Schöpferwissen, Wie aus Göttern Affen wurden, Das Strukturierte Prinzip der Liebe, Rettung, Menschheit, Welt, Verschwörung, new science, Geisteskraft Thailand"
Sein Umgang mit den Dingen,1035,,2019-02-07,,
Thomas der Ungläubige,1194,,2019-02-04,12:36,
