Id,Label,Color
159,planeten,not_selected
160,sprechen,not_selected
161,weit,not_selected
162,teilen,not_selected
163,d,not_selected
164,letzt,not_selected
165,erde,not_selected
166,niemals,not_selected
167,gehören,not_selected
168,thailand,not_selected
169,fernstudium,not_selected
170,bleiben,not_selected
171,schaffen,not_selected
172,schnell,not_selected
173,moment,not_selected
174,sterben,not_selected
175,grabovoi,not_selected
176,auto,not_selected
177,daran,not_selected
178,seid,not_selected
179,quasi,not_selected
180,beitrag,not_selected
181,völlig,not_selected
182,dafüren,not_selected
183,selb,not_selected
184,unserer,not_selected
185,heiko,not_selected
186,erleben,not_selected
187,illusion,not_selected
188,informationen,not_selected
189,meist,not_selected
190,frei,not_selected
191,endlich,not_selected
192,natürlichen,not_selected
193,schw,not_selected
194,wahr,not_selected
195,reden,not_selected
196,wagen,not_selected
197,beim,not_selected
198,energie,not_selected
199,arbeiten,not_selected
200,tragen,not_selected
201,ende,not_selected
202,frau,not_selected
203,zurück,not_selected
204,sitzen,not_selected
205,grund,not_selected
206,schön,not_selected
207,sorgen,not_selected
208,einfachen,not_selected
209,möglich,not_selected
210,prozent,not_selected
211,richtig,not_selected
212,na,not_selected
213,dingen,not_selected
214,eher,not_selected
215,arbeit,not_selected
216,gesamt,not_selected
217,bitten,not_selected
218,hilfe,not_selected
219,beispielsweise,not_selected
220,lange,not_selected
221,falsch,not_selected
222,logisch,not_selected
223,wahrhaftigkeit,not_selected
224,habt,not_selected
225,bereits,not_selected
226,stark,not_selected
227,vergessen,not_selected
228,folgen,not_selected
229,kurz,not_selected
230,entscheidung,not_selected
231,anfang,not_selected
232,carola,not_selected
233,beobachten,not_selected
234,dabei,not_selected
235,erfahren,not_selected
236,augen,not_selected
237,seit,not_selected
238,sogar,not_selected
239,sinn,not_selected
240,irgendwie,not_selected
241,aufgabe,not_selected
242,sowas,not_selected
243,geschichte,not_selected
244,wohl,not_selected
245,fall,not_selected
246,funktionieren,not_selected
247,rein,not_selected
248,art,not_selected
249,dürfen,not_selected
250,heisst,not_selected
251,kopf,not_selected
252,nennen,not_selected
253,julian,not_selected
254,macht,not_selected
255,damals,not_selected
256,stelle,not_selected
257,problem,not_selected
258,n,not_selected
259,e,not_selected
260,weiss,not_selected
261,jemand,not_selected
262,erkenntnis,not_selected
263,genauso,not_selected
264,normal,not_selected
265,fahren,not_selected
266,einzig,not_selected
267,heute,not_selected
268,leider,not_selected
269,seminare,not_selected
270,wurde,not_selected
271,setzen,not_selected
272,absolut,not_selected
273,zehn,not_selected
274,raus,not_selected
275,malten,not_selected
276,alt,not_selected
277,alleine,not_selected
278,dadurch,not_selected
279,sofort,not_selected
280,hm,not_selected
281,sehe,not_selected
282,ne,not_selected
283,erzählen,not_selected
284,paar,not_selected
285,oh,not_selected
286,feststellen,not_selected
287,mache,not_selected
288,überall,not_selected
289,wobei,not_selected
290,wenig,not_selected
291,worden,not_selected
292,video,not_selected
293,ding,not_selected
294,hoch,not_selected
295,ändern,not_selected
296,obwohl,not_selected
297,solange,not_selected
298,voll,not_selected
299,ok,not_selected
